,name,company,year,Price,fuel_type,distance
110,Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,0.7916666666666666,"3,45,000",Diesel,0.1225
111,Honda Amaze 1.2 S i VTEC,Honda,0.7916666666666666,"3,25,000",Petrol,0.105
112,Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,0.7083333333333334,"3,29,500",Diesel,0.0905
113,Ford Figo Diesel EXI,Ford,0.7916666666666666,"1,95,000",Diesel,0.125
114,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,0.8333333333333334,"2,51,111",Petrol,0.1375
115,Maruti Suzuki Ertiga ZXi,Maruti,0.7916666666666666,"5,69,999",Petrol,0.1125
116,Maruti Suzuki Esteem LXi BS III,Maruti,0.5,"69,999",Petrol,0.1275
117,Maruti Suzuki Ritz VXI,Maruti,0.7916666666666666,"2,99,999",Petrol,0.0475
118,Maruti Suzuki Dzire,Maruti,0.5833333333333334,"2,20,000",Petrol,0.115
119,Maruti Suzuki Ritz LDi,Maruti,0.75,"3,99,999",Diesel,0.0825
120,Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,0.75,"3,72,000",Petrol,0.0333725
121,Maruti Suzuki Dzire VDI,Maruti,0.8333333333333334,"4,50,000",Diesel,0.26
122,Toyota Etios Liva G,Toyota,0.7916666666666666,"2,70,000",Petrol,0.1375
123,Hyundai i20 Sportz 1.4 CRDI,Hyundai,0.6666666666666666,"3,50,000",Diesel,0.0833325
124,Chevrolet Spark,Chevrolet,0.7083333333333334,"1,58,400",Petrol,0.084
125,Maruti Suzuki Alto K10 VXi AMT,Maruti,0.9166666666666666,"3,50,000",Petrol,0.014
126,Nissan Micra XV,Nissan,0.6666666666666666,"1,79,000",Petrol,0.1025
127,Maruti Suzuki Swift,Maruti,0.5,"1,25,000",Petrol,0.175
128,Maruti Suzuki Alto 800,Maruti,0.9583333333333334,"2,00,000",Petrol,0.01875
129,Honda Amaze 1.5 S i DTEC,Honda,0.75,"2,99,000",Diesel,0.1125
130,Maruti Suzuki Alto 800 Vxi,Maruti,0.8333333333333334,"2,20,000",Petrol,0.095
131,Chevrolet Beat,Chevrolet,0.8333333333333334,"1,50,000",Petrol,0.075
133,Honda City 1.5 V MT,Honda,0.625,"2,85,000",Petrol,0.0875
134,Ford EcoSport Trend 1.5L TDCi,Ford,0.875,"8,30,000",Diesel,0.060825
135,Hyundai i20 Asta 1.2,Hyundai,0.5833333333333334,"2,10,000",Petrol,0.1637
136,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,0.75,"3,40,000",Petrol,0.1025
137,Tata Indica V2 eLS,Tata,0.4583333333333333,"90,000",Petrol,0.05
138,Maruti Suzuki Alto 800 Lxi,Maruti,0.9583333333333334,Ask For Price,Petrol,0.07007
139,Hindustan Motors Ambassador,Hindustan,0.20833333333333334,"70,000",Diesel,0.5
140,Toyota Corolla Altis 1.8 GL,Toyota,0.625,"2,89,999",Petrol,0.175
141,Toyota Corolla Altis 1.8 J,Toyota,0.7083333333333334,"3,49,999",Petrol,0.1475
142,Toyota Innova 2.5 GX BS IV 7 STR,Toyota,0.7083333333333334,"8,49,999",Diesel,0.2475
143,Volkswagen Jetta Highline TDI AT,Volkswagen,0.7916666666666666,"7,49,999",Diesel,0.115
144,Volkswagen Polo Comfortline 1.2L P,Volkswagen,0.8333333333333334,"3,99,999",Petrol,0.007
145,Volkswagen Polo,Volkswagen,0.7916666666666666,"2,74,999",Petrol,0.08
146,Mahindra Scorpio,Mahindra,0.8333333333333334,"9,84,999",Diesel,0.055
147,Renault Duster,Renault,0.7916666666666666,"4,49,999",Diesel,0.125
148,Honda Amaze,Honda,0.8333333333333334,"3,44,999",Petrol,0.055
149,Nissan Sunny,Nissan,0.7083333333333334,"2,24,999",Petrol,0.1125
150,Hyundai Elite i20,Hyundai,0.9583333333333334,"5,99,999",Petrol,0.0525
151,Renault Kwid,Renault,0.875,"2,44,999",Petrol,0.0275
152,Renault Duster,Renault,0.75,"3,99,999",Diesel,0.1025
153,Ford EcoSport,Ford,0.9166666666666666,"4,89,999",Petrol,0.0975
154,Renault Duster,Renault,0.7916666666666666,"4,74,999",Diesel,0.125
155,Mahindra Scorpio VLX Airbag,Mahindra,0.6666666666666666,"4,99,999",Diesel,0.165
156,Maruti Suzuki Alto 800 Lxi,Maruti,0.9583333333333334,"3,10,000",Petrol,0.0075
157,Chevrolet Spark LT 1.0,Chevrolet,0.625,"85,000",Petrol,0.1125
158,Datsun Redi GO T O,Datsun,0.875,"2,45,000",Petrol,0.0175
159,Maruti Suzuki Swift RS VDI,Maruti,0.625,"1,89,500",Diesel,0.09625
160,Fiat Punto Emotion 1.2,Fiat,0.7083333333333334,"1,69,500",Diesel,0.093
161,Maruti Suzuki Swift RS VDI,Maruti,0.625,"1,59,500",Diesel,0.108
162,Toyota Etios GD,Toyota,0.75,"2,75,000",Petrol,0.062
163,Hyundai i20 Sportz 1.4 CRDI,Hyundai,0.7916666666666666,"3,70,000",Diesel,0.15
164,Hyundai i10 Sportz 1.2,Hyundai,0.625,"1,68,000",Petrol,0.11468
165,Chevrolet Beat LT Opt Diesel,Chevrolet,0.6666666666666666,"1,50,000",Diesel,0.1
166,Chevrolet Beat LS Diesel,Chevrolet,0.6666666666666666,"1,45,000",Diesel,0.1125
167,Chevrolet Beat LT Diesel,Chevrolet,0.7083333333333334,"98,500",Diesel,0.095
168,Mahindra Scorpio VLX 2WD BS IV,Mahindra,0.7916666666666666,"6,99,000",Diesel,0.125
169,Tata Indigo CS,Tata,0.6666666666666666,"85,000",Diesel,0.0285
170,Toyota Corolla Altis 1.8 J,Toyota,0.8333333333333334,"5,75,000",Petrol,0.105
171,Honda City 1.5 V MT,Honda,0.7916666666666666,"5,49,000",Petrol,0.0975
172,Maruti Suzuki Swift VDi,Maruti,0.6666666666666666,"2,09,000",Diesel,0.1175
173,Hyundai Eon Era Plus,Hyundai,0.75,"1,85,000",Petrol,0.0675
174,Mahindra Scorpio S10,Mahindra,0.8333333333333334,"9,00,000",Diesel,0.243
175,Mahindra XUV500,Mahindra,0.7916666666666666,"6,99,999",Diesel,0.13
176,Honda Brio,Honda,0.7083333333333334,"2,24,999",Petrol,0.075
177,Ford Fiesta,Ford,0.6666666666666666,"2,74,999",Diesel,0.1375
178,Honda Amaze,Honda,0.75,"2,84,999",Diesel,0.115
179,Honda City,Honda,0.8333333333333334,"5,99,999",Diesel,0.075
180,Maruti Suzuki Wagon R,Maruti,0.7083333333333334,"1,99,999",Petrol,0.11
181,Honda City,Honda,0.7916666666666666,"5,44,999",Diesel,0.1125
182,Hyundai i20,Hyundai,0.5833333333333334,"1,99,000",Petrol,0.0775
183,Tata Indigo eCS LX TDI BS III,Tata,0.875,"3,20,000",Diesel,0.438575
184,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,0.8333333333333334,"5,40,000",Diesel,0.095
186,Mahindra Quanto C8,Mahindra,0.75,"3,40,000",Diesel,0.0925
187,Fiat Petra ELX 1.2 PS,Fiat,0.5416666666666666,"75,000",Petrol,0.1625
188,Skoda Fabia 1.2L Diesel Ambiente,Skoda,0.6666666666666666,"1,59,500",Diesel,0.0955
189,Mini Cooper S 1.6,Mini,0.75,"18,91,111",Petrol,0.0325
190,Hyundai Santro Xing XS,Hyundai,0.4166666666666667,"49,000",Petrol,0.01875
191,Maruti Suzuki Ciaz VXi Plus,Maruti,0.875,"7,00,000",Petrol,0.008375
192,Maruti Suzuki Zen VX,Maruti,0.20833333333333334,"55,000",Petrol,0.15
193,Honda City,Honda,0.8333333333333334,"4,48,999",Petrol,0.135
194,Hyundai Creta 1.6 SX Plus Petrol,Hyundai,0.9166666666666666,"8,95,000",Petrol,0.08
196,Mahindra Scorpio SLX,Mahindra,0.5,"3,55,000",Diesel,0.1875
197,Mahindra Scorpio SLE BS IV,Mahindra,0.7083333333333334,"5,65,000",Diesel,0.155
198,Toyota Innova 2.5 G BS III 8 STR,Toyota,0.4583333333333333,"3,65,000",Diesel,0.1825
199,Maruti Suzuki Alto K10 VXi AMT,Maruti,0.6666666666666666,"1,45,000",Petrol,0.1025
200,Maruti Suzuki Wagon R LXI BS IV,Maruti,0.6666666666666666,"2,10,000",Petrol,0.0875
201,Tata Nano Cx BSIV,Tata,0.75,"40,000",Petrol,0.0055
202,Maruti Suzuki Alto Std BS IV,Maruti,0.75,"1,25,000",Petrol,0.0975
203,Maruti Suzuki Wagon R LXi BS III,Maruti,0.5833333333333334,"1,35,000",Petrol,0.1125
204,Maruti Suzuki Swift VXI BSIII,Maruti,0.4583333333333333,"1,35,000",Petrol,0.1125
205,Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,0.7083333333333334,"2,85,000",Diesel,0.1625
207,Maruti Suzuki Wagon R LXi BS III,Maruti,0.625,"1,45,000",Petrol,0.137175
208,Maruti Suzuki Alto LXi BS III,Maruti,0.625,"1,35,000",Petrol,0.08645
209,Volkswagen Passat Diesel Comfortline AT,Volkswagen,0.5833333333333334,"4,50,000",Diesel,0.2425
210,Renault Scala RxL Diesel Travelogue,Renault,0.8333333333333334,"3,75,000",Diesel,0.0625
211,Mahindra Quanto C8,Mahindra,0.75,"3,75,000",Diesel,0.05
212,Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,0.7916666666666666,"3,65,000",Petrol,0.05
213,Hyundai i20 Active 1.2 SX,Hyundai,0.8333333333333334,"5,00,000",Petrol,0.045
214,Mahindra Xylo E4,Mahindra,0.7083333333333334,"4,00,000",Diesel,0.0875
215,Mahindra Jeep MM 550 XDB,Mahindra,1.0,"3,90,000",Diesel,0.00015
216,Renault Duster 110PS Diesel RxZ,Renault,0.7083333333333334,"5,01,000",Diesel,0.0875
217,Mahindra Bolero SLE BS IV,Mahindra,0.75,"3,30,000",Diesel,0.2005
218,Force Motors Force One LX ABS 7 STR,Force,0.8333333333333334,"5,80,000",Diesel,0.008
219,Maruti Suzuki SX4,Maruti,0.7083333333333334,"2,65,000",Diesel,0.115
220,Mahindra Jeep CL550 MDI,Mahindra,1.0,"3,79,000",Diesel,0.0
221,Maruti Suzuki Alto 800,Maruti,0.8333333333333334,"2,19,000",Petrol,0.0125
222,Mahindra Jeep CL550 MDI,Mahindra,0.9583333333333334,"3,85,000",Diesel,0.00147
223,Toyota Etios,Toyota,0.6666666666666666,"2,75,000",Diesel,0.09
224,Volkswagen Polo,Volkswagen,0.8333333333333334,"3,30,000",Diesel,0.095
225,Honda City ZX VTEC,Honda,0.5416666666666666,"1,10,000",Petrol,0.1125
226,Maruti Suzuki Wagon R LX BS III,Maruti,0.4583333333333333,"80,000",Petrol,0.178
227,Honda City VX O MT Diesel,Honda,0.875,"5,19,000",Diesel,0.13
228,Mahindra Thar CRDe 4x4 AC,Mahindra,0.875,"7,30,000",Diesel,0.0725
229,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,0.8333333333333334,"14,75,000",Diesel,0.1175
230,Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,0.5833333333333334,"6,99,000",Petrol,0.1175
231,Mercedes Benz GLA Class 200 CDI Sport,Mercedes,0.8333333333333334,"20,00,000",Diesel,0.05
232,Land Rover Freelander 2 SE,Land,0.8333333333333334,"21,00,000",Diesel,0.075
233,Renault Kwid RXT,Renault,0.9166666666666666,"3,40,000",Petrol,0.0125
234,Tata Aria Pleasure 4X2,Tata,0.7916666666666666,"3,90,000",Diesel,0.0875
235,Mercedes Benz B Class B180 Sports,Mercedes,0.7916666666666666,"14,00,000",Petrol,0.0775
236,Datsun GO T O,Datsun,0.875,"2,45,000",Petrol,0.0175
237,Tata Indigo eCS LX TDI BS III,Tata,0.875,"3,20,000",Diesel,0.438575
238,Tata Indigo eCS LX TDI BS III,Tata,0.875,"3,20,000",Diesel,0.4385
239,Honda Jazz VX MT,Honda,0.875,"4,50,000",Petrol,0.1025
240,Honda Amaze 1.2 S i VTEC,Honda,0.7916666666666666,"3,11,000",Petrol,0.0825
241,Honda Amaze,Honda,0.75,"2,84,999",Diesel,0.115
242,Honda City,Honda,0.7083333333333334,"3,99,999",Petrol,0.1125
243,Honda City,Honda,0.8333333333333334,"5,99,999",Diesel,0.0975
244,Honda Amaze,Honda,0.8333333333333334,"3,44,999",Petrol,0.055
245,Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,0.5833333333333334,"6,99,000",Petrol,0.1175
246,Force Motors Force One LX ABS 7 STR,Force,0.8333333333333334,"5,80,000",Diesel,0.008
247,Mahindra Scorpio S4,Mahindra,0.8333333333333334,"8,55,000",Diesel,0.075
248,Hyundai i20 Active 1.4L SX O,Hyundai,0.8333333333333334,"5,35,000",Diesel,0.0925
249,Mini Cooper S,Mini,0.75,"18,91,111",Petrol,0.0325
250,Maruti Suzuki Ciaz ZXI Plus,Maruti,0.9166666666666666,"6,99,000",Petrol,0.035
251,Chevrolet Tavera Neo,Chevrolet,0.75,"3,75,000",Diesel,0.1375
252,Honda Amaze,Honda,0.75,"2,84,999",Diesel,0.115
253,Hyundai Eon Sportz,Hyundai,0.7083333333333334,"1,78,000",Petrol,0.075
254,Tata Sumo Gold Select Variant,Tata,0.75,"3,00,000",Diesel,0.125
255,Maruti Suzuki Wagon R 1.0,Maruti,0.3333333333333333,"90,000",Petrol,0.1125
256,Maruti Suzuki Esteem VXi BS III,Maruti,0.4583333333333333,"95,000",Petrol,0.1125
257,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,0.8333333333333334,"2,55,000",Petrol,0.02325
258,Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,0.75,"2,45,000",Diesel,0.1375
259,Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,0.7083333333333334,"3,29,500",Diesel,0.0905
260,Ford Figo Diesel EXI,Ford,0.7916666666666666,"1,95,000",Diesel,0.125
261,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,0.8333333333333334,"2,51,111",Petrol,0.1375
262,Maruti Suzuki Ertiga ZXi,Maruti,0.7916666666666666,"5,69,999",Petrol,0.1125
263,Maruti Suzuki Esteem LXi BS III,Maruti,0.5,"69,999",Petrol,0.1275
264,Maruti Suzuki Ritz VXI,Maruti,0.7916666666666666,"2,99,999",Petrol,0.0475
265,Maruti Suzuki Dzire,Maruti,0.5833333333333334,"2,20,000",Petrol,0.115
266,Maruti Suzuki Ritz LDi,Maruti,0.75,"3,99,999",Diesel,0.0825
267,Maruti Suzuki SX4 ZXI MT,Maruti,0.625,"2,49,999",Petrol,0.09
268,Maruti Suzuki Wagon R 1.0 VXi,Maruti,0.8333333333333334,"2,89,999",Petrol,0.055
269,Mini Cooper S 1.6,Mini,0.75,"18,91,111",Petrol,0.03375
270,Nissan Terrano XL D Plus,Nissan,0.8333333333333334,"4,99,999",Diesel,0.15
271,Renault Duster 85 PS RxE Diesel,Renault,0.75,"4,89,999",Diesel,0.0675
272,Renault Duster 85 PS RxE Diesel,Renault,0.7916666666666666,"4,89,999",Diesel,0.1475
273,Renault Duster 85 PS RxL Diesel,Renault,0.8333333333333334,"5,49,999",Diesel,0.0475
274,Maruti Suzuki Dzire ZXI,Maruti,0.75,"3,80,000",Petrol,0.075
275,Renault Kwid RXT Opt,Renault,0.9583333333333334,"3,25,000",Petrol,0.0375
276,Maruti Suzuki Maruti 800 Std,Maruti,0.3333333333333333,"57,000",Petrol,0.141895
277,Renault Kwid 1.0 RXT AMT,Renault,0.9583333333333334,"3,49,999",Petrol,0.025
278,Renault Lodgy 85 PS RXL,Renault,0.9583333333333334,"6,89,999",Diesel,0.05
279,Renault Scala RxL Diesel,Renault,0.7916666666666666,"3,49,999",Diesel,0.1225
280,Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,0.7916666666666666,"4,10,000",Petrol,0.1025
281,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,0.6666666666666666,"2,25,000",Petrol,0.1125
282,Chevrolet Beat LS Petrol,Chevrolet,0.625,"1,20,000",Petrol,0.1075
283,Tata Indigo eCS LX TDI BS III,Tata,0.875,"3,20,000",Diesel,0.438575
284,Hyundai Santro Xing XO eRLX Euro III,Hyundai,0.20833333333333334,"59,000",Petrol,0.141125
285,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,0.8333333333333334,"5,40,000",Diesel,0.095
287,Chevrolet Beat LS Petrol,Chevrolet,0.625,"80,000",Petrol,0.14
288,Mahindra Quanto C8,Mahindra,0.75,"3,40,000",Diesel,0.0925
289,Fiat Petra ELX 1.2 PS,Fiat,0.5416666666666666,"75,000",Petrol,0.1625
290,Chevrolet Beat LS Petrol,Chevrolet,0.8333333333333334,"2,20,000",Petrol,0.08175
291,Skoda Fabia 1.2L Diesel Ambiente,Skoda,0.6666666666666666,"1,59,500",Diesel,0.0955
292,Ford EcoSport Titanium 1.5L TDCi,Ford,0.875,"5,99,000",Diesel,0.075
293,Hyundai Accent GLX,Hyundai,0.4583333333333333,"80,000",Petrol,0.14
295,Maruti Suzuki Swift LDi,Maruti,0.625,Ask For Price,Diesel,0.13
296,Mahindra TUV300 T4 Plus,Mahindra,0.875,"6,75,000",Diesel,0.0225
297,Mini Cooper S 1.6,Mini,0.75,"18,91,111",Petrol,0.0325
298,Mini Cooper S 1.6,Mini,0.75,"18,91,111",Petrol,0.0325
299,Tata Indica V2 Xeta e GLE,Tata,0.5416666666666666,"1,50,000",Petrol,0.0275
