,title,movie_id,tags
10,Superman Returns,1452,"superman returns to discover his 5-year absence has allowed lex luthor to walk free, and that those he was closest too felt abandoned and have moved on. luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the man of steel. adventure fantasy action sciencefiction savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor brandonrouth kevinspacey katebosworth jamesmarsden parkerposey franklangella samhuntington evamariesaint marlonbrando kalpenn tristanlakeleabu davidfabrizio ianroberts vincentstone jacklarson noelneill keeganjoyce jordanabeatty bryansinger"
11,Quantum of Solace,10764,"quantum of solace continues the adventures of james bond after casino royale. betrayed by vesper, the woman he loved, 007 fights the urge to make his latest mission personal. pursuing his determination to uncover the truth, bond and m interrogate mr. white, who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined. adventure action thriller crime killing undercover secretagent britishsecretservice danielcraig olgakurylenko mathieuamalric judidench giancarlogiannini gemmaarterton jeffreywright davidharbour jesperchristensen anatoletaubman rorykinnear timpigott-smith joaquíncosio glennfoster paulritter stanakatic lucrezialantedellarovere neiljackson oonachaplin rachelmcdowall gustavonanez markwakeling sarahhadland daviddecio aaronking alexandraprusa brandonjovanovich alexandrekrawetz fernandoguilléncuervo jesúsochoa simonkassianides brendano'hea marcforster"
12,Pirates of the Caribbean: Dead Man's Chest,58,"captain jack sparrow works his way out of a blood debt with the ghostly davey jones, he also attempts to avoid eternal damnation. adventure fantasy action witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger johnnydepp orlandobloom keiraknightley stellanskarsgård billnighy jackdavenport kevinmcnally jonathanpryce leearenberg mackenziecrook tomhollander naomieharris davidbailie martinklebba davidschofield alexnorton geoffreyrush dermotkeaney andybeckwith cliveashborn reggielee christopheradamson jonathanlinsley johnboswall maxbaker stevespeirs laurenmaher vanessabranch lukedewoolfson jonathankite ho-kwantse peterdonaldbadalamentiii christophers.capp goreverbinski"
13,The Lone Ranger,57201,"the texas rangers chase down a gang of outlaws led by butch cavendish, but the gang ambushes the rangers, seemingly killing them all. one survivor is found, however, by an american indian named tonto, who nurses him back to health. the ranger, donning a mask and riding a white stallion named silver, teams up with tonto to bring the unscrupulous gang and others of that ilk to justice. action adventure western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto johnnydepp armiehammer williamfichtner helenabonhamcarter jamesbadgedale tomwilkinson ruthwilson barrypepper jamesfrain masoncook matto'leary leonrippy harrytreadaway damonherriman w.earlbrown gilbirmingham saginawgrant stephenbrodie matthewpage nickw.nicholson bryantprince jdcullum joaquíncosio timothyv.murphy damoncarney kevinwiggins chadbrummett robertbaker lewtemple stephenroot randyoglesby bradgreenquist rancehoward leonardearlhowze travishammer stevecorona jackaxelrod christopherhagen fredafohshen margaretbowman luzp.mendez lainaloucks devonj.adams desiraeanslover charlottecormier meganpribyl brianavanschuyver juliestracener chadrandall jasone.hill bethbailey joannecamp bobrumnock taitfletcher alexknight argosmaccallum pokeylafarge joeyglynn adamhoskins ryankoenig goreverbinski"
14,Man of Steel,49521,"a young boy learns that he has extraordinary powers and is not of this earth. as a young man, he journeys to discover where he came from and what he was sent here to do. but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. action adventure fantasy sciencefiction savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse henrycavill amyadams michaelshannon kevincostner dianelane russellcrowe laurencefishburne antjetraue christophermeloni jadingould tahmohpenikett ayeletzurer richardschiff dylansprayberry michaelkelly carlagugino richardcetrone mackenziegray julianrichings maryblack samanthajo rebeccabuller christinawren davidlewis dougabrahams bradkelly alessandrojuliani jackfoley robertgerdisch harrylennix jacquelinescislowski seancampbell rajlal zacksnyder"
15,The Chronicles of Narnia: Prince Caspian,2454,"one year after their incredible adventures in the lion, the witch and the wardrobe, peter, edmund, lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz. now, with the help of a colorful cast of new characters, including trufflehunter the badger and nikabrik the dwarf, the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir. adventure family fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld benbarnes williammoseley annapopplewell skandarkeynes georgiehenley sergiocastellitto aliciaborrachero peterdinklage warwickdavis vincentgrass pierfrancescofavino damiánalcázar simónandreu predragbjelac shanerangi cornelljohn liamneeson kenstott tildaswinton eddieizzard kláraissová andrewadamson"
16,The Avengers,24428,"when an unexpected enemy emerges and threatens global safety and security, nick fury, director of the international peacekeeping agency known as s.h.i.e.l.d., finds himself in need of a team to pull the world back from the brink of disaster. spanning the globe, a daring recruitment effort begins! sciencefiction action adventure newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse robertdowneyjr. chrisevans markruffalo chrishemsworth scarlettjohansson jeremyrenner tomhiddleston clarkgregg cobiesmulders stellanskarsgård samuell.jackson gwynethpaltrow paulbettany jennyagutter walterperez powersboothe stanlee arthurdarbinyan donaldli ashleyjohnson harrydeanstanton aliciasixtos dieterriesle jamiemcshane jeffwolfe jerzyskolimowski maximilianohernández alexisdenisof jameseckhouse envergjokaj damionpoitier tinabenko kirillnikiforov m'laahkaursingh rashmirustagi warrenkole jessegarcia kennethtigar joshcowdery katsumikomatsu yumikokomatsu momokokomatsu robertclohessy fernandatoker andreavecchio robinswoboda brentmcgee michaelzhang william-christopherstephens kelleyrobins romyrosemont patkiernan thomasroberts jillianmorgese catherineanderson ricardoandres loganbennett mayankbhatter sharitabone jasonbotsford marykatecampbell genen.chavez laylacushman robertdean rickdremann jeffreyfeingold louferrigno rodfielder ericfrank israelhall carmendeeharris alexanderchristopherjones mikekarban demoinekinney andrewknode annettelawless kimberlyj.mahoney toddmanes jorgemardel tiffanysandermckenzie michaelmcmillan seanmeehan jotinagra hollyneelie calebdanielnoal josepho'brien jeremyorr natepaige martinpalmer mariaperossa calebpieplow alexanderdanielpimentel frankpowers jaimepowers brentreichert kellyruble ginasarno robertb.schneideriv jeffseich christinashaffer alondashevette douglasslygh colinstrause robertp.thitoff georgethomas shanethompson jerryleetucker taiurban chrisvaina sandraweston sethzielicke alexdecourville debbiescaletta andrea-nicholeolivas tinagrimm josswhedon"
17,Pirates of the Caribbean: On Stranger Tides,1865,"captain jack sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled fountain of youth. when she forces him aboard the queen anne's revenge, the ship of the formidable pirate blackbeard, jack finds himself on an unexpected adventure in which he doesn't know who to fear more: blackbeard or the woman from his past. adventure action fantasy sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d johnnydepp penélopecruz ianmcshane kevinmcnally geoffreyrush samclaflin astridbergès-frisbey stephengraham gregellis damiano'hare óscarjaenada richardgriffiths keithrichards gemmaward judidench ianmercer robbiekay christopherfairbank yukimatsuzaki steveevets bronsonwebb derekmears deobiaoparei sebastianarmesto antonlesser rogerallam paulbazely richardthomson dannyleboyer alanj.utley-moore lukeroberts emiliajones sanyahughes lejon siegfriedpeters robmarshall"
18,Men in Black 3,41154,"agents j (will smith) and k (tommy lee jones) are back...in time. j has seen some inexplicable things in his 15 years with the men in black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. but when k's life and the fate of the planet are put at stake, agent j will have to travel back in time to put things right. j discovers that there are secrets to the universe that k never told him - secrets that will reveal themselves as he teams up with the young agent k (josh brolin) to save his partner, the agency, and the future of humankind. action comedy sciencefiction timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory willsmith tommyleejones joshbrolin michaelstuhlbarg emmathompson jemaineclement nicolescherzinger aliceeve billhader michaelchernus davidrasche keoneyoung cayenmartin mikecolter melahudson willarnett kelvindavis danbittner barrysonnenfeld"
19,The Hobbit: The Battle of the Five Armies,122917,"immediately after the events of the desolation of smaug, bilbo and the dwarves try to defend erebor's mountain of treasure from others who claim it: the men of the ruined laketown and the elves of mirkwood. meanwhile an army of orcs led by azog the defiler is marching on erebor, fueled by the rise of the dark lord sauron. dwarves, elves and men must unite, and the hope for middle-earth falls into bilbo's hands. action adventure fantasy corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery martinfreeman ianmckellen richardarmitage kenstott grahammctavish williamkircher jamesnesbitt stephenhunter deano'gorman aidanturner johncallen peterhambleton jedbrophy markhadlow adambrown orlandobloom evangelinelilly leepace cateblanchett hugoweaving christopherlee ianholm mikaelpersbrandt sylvestermccoy lukeevans stephenfry johnbell ryangage peggynesbitt marynesbitt manubennett johntui billyconnolly benedictcumberbatch kellykilgour sarahpeirse nickblake simonlondon conanstevens allansmith mirandaharcourt thomasinmckenzie peterjackson"
20,The Amazing Spider-Man,1930,"peter parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his uncle ben and aunt may. like most teenagers, peter is trying to figure out who he is and how he got to be the person he is today. as peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to oscorp and the lab of dr. curt connors, his father's former partner. as spider-man is set on a collision course with connors' alter ego, the lizard, peter will make life-altering choices to use his powers and shape his destiny to become a hero. action adventure fantasy lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger andrewgarfield emmastone rhysifans denisleary campbellscott irrfankhan martinsheen sallyfield maxcharles chriszylka embethdavidtz leifgantvoort hannahmarks kelseyasbille c.thomashowell stanlee michaelmassee michaelpapajohn karicoleman charliedepew skylergisondo jacobrodier jakekeiffer kevinmccorkle barbaraeveharris danielleburgio michaelbarra andypessoa andygladbach ringhendricks-tellefsen tomwaite keithcampbell stevedecastro jameschen alexanderbedria johnburke jillflint markdaugherty miltongonzález vincentlaresca damienlemon tyupshaw tiatexada jaycaputo terrybozeman jenniferlyons amberstevens zoeydeutch jodycosgrove-kao maxbogner ethancohn mileselliot mirandaladawnhill amandamacdonald maurymorgan amynovondo kristinquick marcwebb"
21,Robin Hood,20662,"when soldier robin happens upon the dying robert of loxley, he promises to return the man's sword to his family in nottingham. there, he assumes robert's identity; romances his widow, marion; and draws the ire of the town's sheriff and king john's henchman, godfrey. action adventure robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland russellcrowe cateblanchett maxvonsydow williamhurt markstrong oscarisaac dannyhuston eileenatkins markaddy matthewmacfadyen kevindurand scottgrimes alandoyle douglashodge léaseydoux jonathanzaccaï robertpugh gerardmcsorley velibortopic ciaranflynn simonmcburney marklewisjones bronsonwebb denisménochet rubybentall jessicaraine johnnicholas royholder denisegough lukeevans arthurdarvill gianninafacio ralphineson jakecurran ridleyscott"
22,The Hobbit: The Desolation of Smaug,57158,"the dwarves, bilbo and gandalf have successfully escaped the misty mountains, and bilbo has gained the one ring. they all continue their journey to get their gold back from the dragon, smaug. adventure fantasy elves dwarves orcs hobbit dragon wizard swordandsorcery martinfreeman ianmckellen richardarmitage kenstott grahammctavish williamkircher jamesnesbitt stephenhunter deano'gorman aidanturner benedictcumberbatch leepace lukeevans evangelinelilly orlandobloom mikaelpersbrandt manubennett stephenfry johnbell sylvestermccoy terrynotary peterhambleton cateblanchett stephencolbert jedbrophy sarahpeirse marynesbitt peggynesbitt markhadlow johncallen adambrown benmitchell peterjackson"
23,The Golden Compass,2268,"after overhearing a shocking secret, precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north, unaware that it's part of her destiny. adventure fantasy england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel dakotabluerichards nicolekidman danielcraig samelliott evagreen freddiehighmore ianmckellen benwalker ianmcshane kristinscottthomas kathybates jimcarter tomcourtenay christopherlee simonmcburney jackshepherd magdaszubanski derekjacobi clarehiggins charlierowe stevenloton michaelantoniou markmottram hattiemorahan jasonwatkins samhoare briannickels thomasarnold helensoraya chrisweitz"
24,King Kong,254,"in 1933 new york, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island, where they encounter kong, a giant ape who is immediately smitten with the leading lady. adventure drama action filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur naomiwatts jackblack adrienbrody thomaskretschmann colinhanks andyserkis evanparke jamiebell lobochan johnsumner craighall kylechandler williamjohnson davidpittu markhadlow geraldinebrophy daviddennis pipmushin jimknobeloch richerbert leedonahue tomhobbs tirielmora jedbrophy johnwraight williamwallace frankedwards crawfordthomson richardkavanagh stephenhall joefolau chiclittlewood samueltaylor peterjackson"
